frame,cx,cy,w,h,angle,class
kimlik1.jpg,145,170,288,261,0,1
kimlik10.jpg,150,157,172,238,2,1
kimlik11.jpg,150,151,300,295,0,1
kimlik12.jpg,150,150,299,298,0,1
kimlik13.jpg,146,152,266,284,0,1
kimlik14.jpg,150,151,299,298,0,1
kimlik15.jpg,65,128,130,255,0,1
kimlik15.jpg,202,128,131,254,0,1
kimlik17.jpg,150,161,225,223,3,1
kimlik18.jpg,150,151,299,298,0,1
kimlik19.jpg,72,150,143,300,0,1
kimlik19.jpg,222,150,154,299,0,1
kimlik2.jpg,149,148,284,291,0,1
kimlik20.jpg,77,149,145,290,0,1
kimlik20.jpg,226,150,140,290,0,1
kimlik21.jpg,145,144,109,269,3,1
kimlik23.jpg,149,145,153,282,0,1
kimlik24.jpg,144,174,181,240,0,1
kimlik25.jpg,76,150,151,299,0,1
kimlik25.jpg,232,150,135,299,0,1
kimlik26.jpg,146,144,292,287,0,1
kimlik27.jpg,150,150,299,299,0,1
kimlik28.jpg,166,155,254,258,0,1
kimlik29.jpg,136,132,266,256,0,1
kimlik3.jpg,75,150,149,299,0,1
kimlik3.jpg,225,150,148,299,0,1
kimlik30.jpg,150,153,258,261,0,1
kimlik31.jpg,150,155,146,205,0,1
kimlik33.jpg,83,147,106,250,3,1
kimlik33.jpg,228,139,108,258,3,1
kimlik34.jpg,78,148,96,262,3,1
kimlik34.jpg,215,147,100,263,3,1
kimlik35.jpg,83,152,104,269,0,1
kimlik35.jpg,222,148,101,277,0,1
kimlik36.jpg,151,145,299,225,0,1
kimlik37.jpg,97,164,104,255,3,1
kimlik37.jpg,244,146,105,245,3,1
kimlik38.jpg,77,159,119,219,0,1
kimlik38.jpg,233,168,117,209,3,1
kimlik39.jpg,75,155,130,284,0,1
kimlik39.jpg,224,155,132,284,3,1
kimlik4.jpg,131,210,261,178,0,1
kimlik40.jpg,78,150,142,297,0,1
kimlik40.jpg,228,150,142,297,0,1
kimlik41.jpg,82,162,102,197,0,1
kimlik41.jpg,236,161,102,197,3,1
kimlik42.jpg,82,156,102,243,0,1
kimlik42.jpg,223,144,97,231,0,1
kimlik43.jpg,150,150,298,298,0,1
kimlik44.jpg,153,149,278,285,0,1
kimlik45.jpg,122,148,83,198,3,1
kimlik45.jpg,212,148,83,198,3,1
kimlik46.jpg,92,152,116,152,0,1
kimlik46.jpg,209,153,114,151,0,1
kimlik47.jpg,112,144,111,247,0,1
kimlik48.jpg,53,85,82,145,0,1
kimlik48.jpg,147,87,82,145,0,1
kimlik49.jpg,61,149,120,290,3,1
kimlik49.jpg,232,146,120,290,3,1
kimlik5.jpg,151,149,248,258,0,1
kimlik50.jpg,75,150,149,299,0,1
kimlik50.jpg,226,149,147,299,0,1
kimlik51.jpg,150,154,299,257,0,1
kimlik52.jpg,75,161,100,215,0,1
kimlik52.jpg,194,163,102,212,3,1
kimlik53.jpg,73,149,143,299,0,1
kimlik53.jpg,226,150,143,298,0,1
kimlik54.jpg,76,150,146,291,0,1
kimlik54.jpg,226,150,141,291,0,1
kimlik55.jpg,150,136,242,185,0,1
kimlik56.jpg,126,135,154,266,3,1
kimlik57.jpg,150,150,143,194,2,1
kimlik58.jpg,62,150,123,289,0,1
kimlik58.jpg,232,146,124,289,0,1
kimlik59.jpg,75,150,149,297,0,1
kimlik59.jpg,225,150,147,298,0,1
kimlik6.jpg,73,156,98,256,0,1
kimlik6.jpg,202,152,99,254,3,1
kimlik60.jpg,150,150,298,299,0,1
kimlik61.jpg,75,150,145,299,0,1
kimlik61.jpg,227,150,145,299,0,1
kimlik62.jpg,95,140,128,266,0,1
kimlik62.jpg,234,140,128,274,0,1
kimlik63.jpg,80,149,136,279,0,1
kimlik63.jpg,226,151,136,274,0,1
kimlik64.jpg,91,132,125,250,0,1
kimlik64.jpg,227,132,125,250,0,1
kimlik65.jpg,77,120,127,222,0,1
kimlik65.jpg,225,125,133,223,0,1
kimlik66.jpg,148,147,263,267,0,1
kimlik67.jpg,154,167,261,260,0,1
kimlik68.jpg,69,143,124,258,0,1
kimlik68.jpg,239,152,115,244,3,1
kimlik69.jpg,74,148,147,291,0,1
kimlik69.jpg,225,147,149,295,0,1
kimlik7.jpg,75,148,136,284,3,1
kimlik7.jpg,228,150,136,284,3,1
kimlik70.jpg,72,79,144,159,0,1
kimlik70.jpg,224,79,147,157,0,1
kimlik71.jpg,150,150,292,292,3,1
kimlik72.jpg,141,149,159,189,2,1
kimlik73.jpg,136,133,195,261,0,1
kimlik74.jpg,141,144,168,240,2,1
kimlik75.jpg,150,151,178,247,2,1
kimlik76.jpg,150,150,297,299,0,1
kimlik77.jpg,151,149,298,295,0,1
kimlik78.jpg,153,146,286,287,0,1
kimlik79.jpg,170,168,236,221,0,1
kimlik8.jpg,150,154,299,254,0,1
kimlik80.jpg,88,188,155,186,3,1
kimlik80.jpg,229,177,109,172,2,1
kimlik81.jpg,95,189,129,188,0,1
kimlik81.jpg,231,188,116,179,3,1
kimlik82.jpg,146,166,216,266,0,1
kimlik83.jpg,224,150,143,299,0,1
kimlik83.jpg,73,150,143,299,0,1
kimlik84.jpg,105,149,181,199,3,1
kimlik85.jpg,213,149,145,203,3,1
kimlik9.jpg,154,143,244,262,0,1
